Questions,Correct,A,B,C,D
During what medical procedure can the so-called Korotkoff sounds be perceived?, Taking blood pressure,Examining bowel movements,Taking blood pressure,All of these,Ultrasound examination of the fetus
We all know that the formula of water is H2O but can you remember this important property of water: in the water molecule at what angle is each of the hydrogen atoms from the oxygen atom?, 104.45 degrees,180 degrees,114.5 degrees,90 degrees,104.45 degrees
What is heavy water made of ?, Two deuterium atoms and one oxygen atom,Two hydrogen atoms and two oxugen atoms,Two deuterium atoms and one oxygen atom,Two oxygen atoms and one hydrogen atom,Three hydrogen atoms and one oxygen molecule.
The USA leads” the world in per capita consumption of water. Which country is second?, Canada,China,India,Canada,Brazil
About 95% of fresh water in the USA is underground. What is the name of the biggest source of fresh water in the USA?, The Ogallala Aquifer,The Lake Superior Aquifer,The Ogallala Aquifer,The Tampa Aquifer,The Columbian Aquifer
On which Chinese river is the 2335 meters (7660 ft) long and 185 meters (616 ft) high Three Gorges Dam located?, The Yangtze,The Huang He,The Yangtze,The Pearl River,The Lian
"Control of the Ganges River, sacred to some people, has been much disputed between which two nations?", India and Bangladesh,India and Bangladesh,India and Myanmar,India and Pakistan,India and China
"Pure water, if it exists, has this pH.", 7,7,1,14,0
There are high tides and low tides in the bigger water bodies on Earth. Which statement is true about tides?, Tides are caused by the gravitational forces of both the Moon and the Sun.,"Tides are caused by x-rays, not gravity.",Tides are caused by the gravitational effect of the Sun only.,Tides are caused by the gravitational forces of both the Moon and the Sun.,Tides are caused by the gravitational effect of the Moon only.
What is the term for the points in the lunar cycle when the tides range is minimal?, Neap Tide,Ebb Tide,Adoble Tide,Perigean Tide,Neap Tide
Water sticks to itself. What is this property called?, Molecular cohesion,Delaification,Atomic pedalation,Hydrogenation,Molecular cohesion
It is amazing but true that sometimes hot water can freeze faster than cold water. What is this effect called?, Mpemba Effect,Deplembes Effect,Mpemba Effect,Fourier Effect,Torricelli Effect
The 2005 movie Water centered on people from this country., India,Morocco,China,Chad,India
What does the scientific term virga mean?, Rain that never hits Earth,The effect on Mars that makes it appear as if water was on Mars,Rain that never hits Earth,The salt that remains after sea water has been desalinated,Water that has undergone desalination
It has been proved that drinking only bottled water can have this effect on your health., Increase in dental problems,Increase in body fat,Increase in weight,Increase in dental problems,Increase in heart disease
Venus is named after the Roman Goddess of what?, Love,Truth,Lust,Love,Beauty
The Planet Venus orbits the Sun once every how many days?, 225,325,200,125,225
Venus travels around the Sun at an average distance of how many miles?, 67 million miles,120 million miles,67 million miles,1.2 billion miles,38 million miles
Venus is the third brightest object in the sky after the Sun and what other object?, The Moon,Proxima Centuri,Aldeberan,Sirius,The Moon
Which scientist discovered the atmosphere of Venus?, Mikhail Lomonosov in 1761 A.D,Galileo Galilei in 1702 A.D.,Pythagoras in 546 B.C.,Giovanni Cassini in 1790 A.D.,Mikhail Lomonosov in 1761 A.D
Venus has the densest atmosphere of the Solar System. What gaseous element comprises the bulk of the atmosphere?, Carbon Dioxide,Oxygen,Neon,Carbon Dioxide,Helium
What was the name of the first interplanetary probe to study Venus?, Mariner 2,Mariner 1,Verona 1,Verona 2,Mariner 2
"Because of the Greenhouse Effect, Venus has the hottest surface temperature in the Solar System. What is the average temperature on Venus?", 460 Degrees C.,"1,200 Degrees C.",135 Degrees C.,460 Degrees C.,800 Degrees C.
What was the first person to fly a balloon that was filled with hydrogen gas?, Jacques A.C. Charles,Count Ferdinand Zeppelin,Francois F. DeRozier,Joseph Montgolier,Jacques A.C. Charles
What is the difference between a balloon and a zeppelin?, A zeppelin has a rigid frame around the balloon containing the gases.,A balloon can only go up and down; it cannot go East-West or left-right.,A zeppelin has a pilot or pilots below the gas filled chamber.,A zeppelin has a rigid frame around the balloon containing the gases.,A zeppelin is filled with specific gases rather than hot air.
In 1883 Otto Lilienthal became the first person to successfully fly this type of aircraft., Glider,Thermaclimber,Glider,Graf Zeppelin,Heavier than air balloon
Paul MacCready designed the first working solar plane. What was its name?, Gossamer Penguin,Solar Challenger,DaVinci Solar Wind,Solar Impulse,Gossamer Penguin
Who was the first person to fly solo nonstop around the world in a balloon?, Steve Fossett,Heinrich Kubis,Steve Fossett,Richard Rutan,John Alcock
How fast is Mach 1?, 1207 kilometers per hour,1207 kilometers per hour,1207 meters per hour,1207 feet per second,1207 miles per hour
What was the name of the first space station?, Salyut,MIR,Soyuz,Skylab 1,Salyut
"In 1956, Tennessee businessman David Flexer had this great idea.", Show movies on airline flights,Have airlines transport packages on long  flights,Show movies on airline flights,Build a supersonic airplane,Have floatation devices aboard airline flights
In what year was the first in-flight meal served?, 1919,1969,1949,1919,1959
What is the name of the first in-flight magazine for commercial flights?, Clipper,Air News,Pan American News,Traveller,Clipper
In 1938 Doug Corrigan set out on a flight from New York to California. What nickname did he get after the flight?, Wrong Way Corrigan,Day/Night  Corrigan,California DreaminCorrigan,Wrong Way Corrigan,All-the-Way Corrigan
Which airlines  introduced  the frequent flyer program?, American Airlines,KLM,Delta Airlines,Pan American Airlines,American Airlines
In what year did an airplane first hit 200 miles per hour?, 1922,1944,1922,1955,1933
Who was the first US Senator to fly on the Space Shuttle?, Jake Garn,Bill Bradley,Jake Garn,Tom McMillan,John Glenn
Who was the first actor to attain the rank of Brigadier General in the US Air Force?, James Stewart,William Bendix,Kirk Douglas,James Stewart,Clark Gable
What distinction does Dennis Tito hold?, He was the first tourist in space.,He was the first tourist in space.,"He was the first person to fly the Shuttle, shoot down an enemy  fighter, and fly a balloon across the Atlantic.",He was the first person to fly the Shuttle three times.,He was the first person to make a space walk.
Which of these particles has a negative charge?, Electron,Neutron,Electron,Proton,Posititron
This person is given credit for coining the term surfing the internet., Jean Armour  Polly,Marvin Minsky,Tim Lee-Berniers,Jean Armour  Polly,Gregory Chaitin
Who helped invent the blender?, Fred Waring,Carl Sontheimer,Fred Waring,Carl Frederick Winson,Gene Armor Polly
The Earths atmosphere is about 78.8 % nitrogen and almost 21 % oxygen. This element is the third most abundant comprising about 0.93 % of the atmosphere., Argon,Helium,Krypton,Phosphorous,Argon
Which is the highest layer of the Earth’s atmosphere?, Exosphere,Iconosphere,Ectosphere,Exosphere,Endosphere
Which of these units for distance is the longest?, 1 par sec,1 par sec,1 light year,1 galactic year,1 astronomical unit
Find the correct statement about cyclones., In the Northern Hemisphere cyclones move in a counterclockwise direction.,Cyclones always carry hot air.,In the Northern Hemisphere cyclones move in a counterclockwise direction.,Cyclones are high pressure systems.,In cyclones air moves away from the center.
Which of the following terms describes a dark layer of clouds that bring rain or snow?, Nimbostratus,Stratocumulus,Cirrus,Nimbostratus,Altocumulus
This is a synonym for neutron star., Pulsar,White  Dwarf,Black hole,Pulsar,Questars
Which type of mirror produces an image that is smaller than the original?, Concave,Convex,Flat,Concave-Convex,Concave
Loudness is measured in decibels. A pneumatic drill at about 40 feet gives about 85 decibels. How many decibels result from an airplane taking off 200 feet (60 m) away?, 120,110,300,95,120
What is the lightest element that is a metal?, Lithium,Titanium,Lithium,Cobalt,Boron
The first fly by” for the planet Mars occurred in this year., 1965,1975,1955,1945,1965
In math and science a double tilda is often used as  a symbol. Which is symbolized by a double tilde?, Is approximately equal to,Has the same atomic number as,Has the same first derivative as,Is approximately equal to,Has the same atomic weight as
The first artificial satellite to orbit Mars orbited the planet for 12 months beginning in this year., 1971,1981,1991,2001,1971
Which of these waves have the highest wave length?, Radio waves,Microwaves,Infra -red  waves,X-rays,Radio waves
Dinosaurs can be divided into two groups: Ornithschians and Saurischians. The difference between them is mainly in the structure of this part of their bodies., Hips,Eyes,Hips,Teeth,Toes
Which of these living creatures appearred on Earth first?, Fish,Fish,Reptiles,Seed plants,Birds
"What was the animal featured in the insignia of the Apollo 11 mission, the first mission to land a human being on the Moon?", An eagle,A hawk,An eagle,A bear,A lion
Who was the President of the United States at the time when Apollo 11 landed on the Moon?, Richard Nixon,John F. Kennedy,Lyndon B. Johnson,Gerald Ford,Richard Nixon
What was the name of the command module of Apollo 11?, Columbia,Columbia,Eagle,Georgia,Thunder
Which of the three astronauts from Apollo 11 remained in the command module while the other two separated along with the lunar module?, Michael Collins,Neil Alden Armstrong,Michael Collins,"Edwin Eugene Buzz Aldrin, Jr.",All of these
