Questions,Correct,A,B,C,D
What is the range of the pH scale?,B,14 -- 20,(0 or 1) -- 14,0 -- 7,-7 -- 0
"Fill in the missing letter in this chain that has to do with the Solar System we live in: M, V, E, M, J, _, U, N.",C,R,P,S,B
What is the name of the Galaxy that our Solar System is a part of?,A,Milky Way,The Large Magellanic Cloud,Andromeda,Hollywood
Approximately how long is one astronomical unit (1 a.u.)?,C,"174,000,000 km /108,118,587 miles","8,000,000 km/ 4,970,969 miles","149,597,000 km/ 92,955,266 miles","878,000,000 km/ 545,563,907 miles"
Which of these values signifies the greatest temperature?,B,One degree Fahrenheit,One degree Celsius,One degree Rankine,One degree Kelvin
What does the abbreviation THEL stand for?,D,Thermabaric harmonic emergent light,Thermobaric high energy light,Titanium harmonic emergent laser,Tactical high energy laser
“Wattle and daub is a method of construction.,A,True,False,,Q Why are recoilless guns recoilless?
Which statement is true about airplanes?,C,"To dive, elevators are up.","To dive, ailerons are down.","To dive, elevators are down.","To dive, ailerons are up."
Taxonomy of vertebrates divides fishes into what two basic groups?,D,Gilled and non-gilled,Mammalian and non-mammalian,Nematodes and non-nematodes,Jawed and jawless
What makes almost 99% of the visible universe?,C,Nitrogen,Quasars,Plasma,Solids
What is an endothermic chemical reaction?,B,A chemical reaction in which energy is released,A chemical reaction in which energy is used up,A chemical reaction in which oxides are produced,A chemical reaction in which carbon compounds are involved
The sky appears to be blue because of the refraction of light.,B,True,False,,Q A plane travels at 176 miles per hour for 4 hours from Chicago due East. What is the planes velocity?
"The Metal Storm weapons, that can fire tens of thousands of rounds a minute, were developed where?",B,Belgium,Australia,"Livermore, California","Piscatawny, New Jersey"
What do we call cells with a nucleus?,C,Mitochondrial,Golgi,Eukaryotic,Prokaryotic
"When buying a prebuilt (Dell, Gateway, Acer, HP etc...) computer with a hard drive capacity of 250 GB, what will the functional capacity of the hard drive display as when looking at the properties of C drive?",A,232.8 GB,240 GB,250 GB,249.9 GB
"If a computer system displays less memory than what is installed, what are the most likely causes for this discrepancy? ( example: a system comes with 2 GB of RAM installed but system info displays 1896 MB of RAM)",A,"There are a full 2 GB of ram installed, however other devices (video card etc) have been designated a portion of the system RAM to function.",System has 2 separate 1 GB sticks installed to equal 1896 MB of Ram. If a single 2B stick was installed it would read correctly.,RAM measurements are similar to the hard drive discrepancy in that a GB definition difference exists between the manufacturer and the operating system.,The manufacturer rounds up to the measurement to the nearest GB for ease of sale. The Operating system reads the actual amount of the chip(s).
Generally computers are sold with RAM in 1GB denominations. Is it generally possible to add RAM to the system later to have 1.5 GB of RAM?,B,No,Yes,,Q When running a 32-bit operating system which amount of RAM can you not functionally upgrade your system to?
"An LCD monitor with a DVI or VGA connector can be connected to a laptop computer with the same connectors, as a second monitor.",A,True,False,,Q Which one of the following is indicative of Direct Disc Labeling capabilities?
What is FireWire?,B,a quality mouse by Logitech,a method of transporting data between two digital devices,a peer to peer sharing website for music and file sharing,a movie
"This Microsoft operating system, formerly codenamed Blackcomb and Vienna, is intended to succeed Windows Vista.",D,Mojave,Vista,Mac OS X Leopard,7
"If a wireless network is set up in a home, yet the signal is weak in certain areas, you may buy one of these to increase the existing signal strength.",A,Repeater,Modem,Router,Satellite Dish
Windows Vista commercials have boasted of the Record Live Television capability of the operating system. What is necessary to use this function?,D,Optical Drive,Cable Box,Digital Television,TV Tuner Card
What is the number of amino acids commonly associated with the mammalian protein?,C,25,23,20,46
All mammalian amino acids have which Greek letter designating their relation to the carbon atom to which different groups are attached?,D,Delta,Sigma,Beta,Alpha
The carbon atom in amino acids has four elements/groups attached to it in all amino acids (except for proline). Which of the following is not among these four?,C,Carboxyl group,R-group (including another hydrogen),Methyl group,Hydrogen
"On average, only one baby in 10,000,000 is born with a tooth.",A,False,True,,Q A rodents teeth will grow continuously for its entire lifetime.
Which of these people was a dentist?,C,Thomas Alva Edison,Samuel F.B. Morse,Paul Revere,DeWit Clinton
What is true about elephant tusks?,D,They are highly developed canine teeth.,They are not teeth.,They are not really made of ivory.,They are highly developed incisors.
Which of these animals only has molars?,B,Adult penguins,Adult aardvarks,Adult  wolves,Adult minnows
Which of these animals have no teeth?,B,snails,Turtles,Hares,Wombats
Which of these are heterodonts?,B,Snails,Humans,Turtles,Sharks
Which mammal has the most teeth?,A,The spinner dolphin,The tiger seal,The dingo,The giant armadillo
Select the incorrect statement.,A,Over 80 % of an elephants tusk is visible-the rest lies inside the gums.,"Aside from the elephant, the walrus has the largest tusks.",The tusks of a male elephant grow about 18 cm a year.,Biologists have found that the tooths weight and its need for muscular development has greatly influenced the development of the mammalian skull.
Every mammal has teeth.,A,False,True,,"Q The narwhale has two teeth in its upper jaw, one of which develops into a horn-like protrusion (this is true)."
The most common  fossil is the tooth.,A,True,False,,Q Consider all animals that ever lived. Which animal had the longest teeth?
What is the weight of the smallest known bird egg on the planet?,C,"2,5 grams",5 grams,"0,5 grams",1 gram
Eggs have a very high nutrition value. Which of the following substances is not present within an egg?,A,Chlorophyll,Phosphorus,Vitamin D,Choline
Which of the following is the Latin word for egg?,A,Ovum,Avis,Cancer,Rana
The egg of this animal contains the largest existing single cell.,A,Ostrich,Komodo dragon,Platypus,Emu
Which of the following is not true about the bird eggshell?,B,The normal bird eggshell is porous.,The eggshell does not contain protein.,The eggshell consists of roughly 95% calcium carbonate crystals.,The bird eggshell is covered by a structure called cuticle.
How many hours approximately does an eggshell formation take in an average laying hen?,C,About 48 hours,About 5 hours,About 20 hours,Less than 2 hours
How long does it take for a platypus egg to develop completely and hatch?,A,28 days of internal formation and 10 days of external incubation,15 days of internal formation and 35 days of external incubation,24 hours of internal formation and 15 days of incubation,The eggs develop within 7 days in the mothers uterus and the babies are hatched almost immediately after laying
Which of these expression does not refer to a yolkless egg?,A,Vain egg,Wind egg,Dwarf egg,Cock egg
Which of the following is not true about the egg yolk?,A,It contains 75% of the protein of the egg.,It is placed in a yolk sac.,Its usual color varies from pale yellow to deep orange.,It contains almost 100% of total amount of fat and cholesterol in the egg.
What is the main protein found in the egg white?,A,Ovalbumin,Fibrin,Gluten,Phosphoprotein
"One famous analog computer was the water integrator, which functioned by manipulation of water through a room of pipes and pumps, where the water levels represented numbers, and the rate of flow represented mathematical operations.  Which country built the water integrator?",A,Soviet Union,Great Britain,USA,Germany
"This English mathematician, logician and cryptographer is widely regarded as the father of modern computer science.",A,Alan Turing,Max Newman,Ada Lovelace,John Atanasoff
Which was the first implemented high-level general purpose programming language?,C,Cobol,BASIC,Fortran,Pascal
"In the 1950s, these electronic components replaced vacuum tubes in the production of computers.",C,diodes,chips,transistors,processors
"In their third generation computers flourished, thanks Jack St. Clair Kilbys and Robert Noyces independent invention.  What did they invent?",C,the transistor,the first computer program,integrated circuit (or microchip),computer memory
This computer engineer and co-founder of Apple Computer is often credited with developing the first mass-market home computers.,D,Steve Jobs,Bill Gates,John Vincent Atanasoff,Steve Woz Wozniak
Which was the first version of Microsoft Windows to support Plug and Play?,B,Windows 3.11,Windows 95,Windows XP,Windows 3.0
"If the optimal body habitus for hot climates is tall and slender, what is one possible condition explaining pygmies?",B,Ice ages,Humidity,Rain,Low atmospheric preasure
Which of the following is correct?,B,"Primates include Gorillas, Monkeys and Humans.  Monkeys include Pro-Simians and Chimpanzees.","Primates include Monkeys, Pro-Simians, and Apes.  Apes include Orangutans, Gorillas, Chimpanzees and Humans.","Primates include Apes and Pro-Simians.  Pro-Simians include Humans.  Apes include Gorillas, Orangutans and Monkeys.","Primates include Humans, Pro-Simians and Apes.  Apes include Orangutans, Gorillas, and Monkeys."
